keyword,estimated_intent,category,type,notes,search_volume,kd,cpc_eur,serp_features,priority_score,data_source,keyword_clean,orig_cluster_name,hdb,hier10,hier12,hdb_label,hdb_label_de,sub_cluster,sub_x,sub_y
auslastung zeitarbeit erhöhen,informational,cluster_11,longtail,KPI,176,7,2.44,featured-snippet,25.1,estimated,auslastung zeitarbeit erhöhen,Kundenreferenzen & ROI,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,1.6824127,-8.775193
lohnbuchhaltung zeitarbeit,informational,cluster_02,body,Buchhaltung,549,24,1.95,video,22.9,estimated,lohnbuchhaltung zeitarbeit,Lohnabrechnung & Payroll,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,0.57822126,-10.799559
arbeitszeugnis erstellen zeitarbeit,informational,cluster_09,longtail,Aufgabe,177,8,2.29,featured-snippet|people-also-ask|video,22.1,estimated,arbeitszeugnis erstellen zeitarbeit,HR & Mitarbeiterverwaltung,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,2.8980088,-9.481831
arbeitsmarkt 2026,informational,cluster_10,body,Trend,417,19,1.91,people-also-ask,21.9,estimated,arbeitsmarkt 2026,Branchentrends & Marktentwicklung,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,5.5170107,-7.467057
weiterbildung zeitarbeit,informational,cluster_09,body,Trend,534,28,0.97,featured-snippet|people-also-ask,19.1,estimated,weiterbildung zeitarbeit,HR & Mitarbeiterverwaltung,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,1.0978763,-9.636201
crm zeitarbeit,commercial,cluster_07,head,Tool,1360,81,8.83,shopping|site-links,16.8,estimated,crm zeitarbeit,Digitalisierung & Cloud in der Personaldienstleistung,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,0.22056603,-9.017252
equal pay berechnen,informational,cluster_06,longtail,Wie-Frage,131,8,1.3,video,16.4,estimated,equal pay berechnen,AUEG & Rechtssicherheit,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),2,4.165316,-6.8987274
mitarbeiter onboarding zeitarbeit,informational,cluster_09,longtail,Prozess,163,10,0.46,featured-snippet,16.3,estimated,mitarbeiter onboarding zeitarbeit,HR & Mitarbeiterverwaltung,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,4.1714034,-9.825705
zukunft zeitarbeit,informational,cluster_10,body,Trend,631,39,0.65,featured-snippet|people-also-ask,16.2,estimated,zukunft zeitarbeit,Branchentrends & Marktentwicklung,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,1.0210215,-10.27855
disposition zeitarbeitnehmer,informational,cluster_04,body,Funktion,395,26,1.67,video,15.2,estimated,disposition zeitarbeitnehmer,Zeiterfassung & Disposition,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,3.9091182,-9.805026
zeiterfassung handwerk,commercial,cluster_04,body,Branche,618,41,8.2,ads|shopping,15.1,estimated,zeiterfassung handwerk,Zeiterfassung & Disposition,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,-0.9093484,-9.824639
liquidität zeitarbeit,informational,cluster_05,body,Branchenproblem,719,48,2.0,featured-snippet|people-also-ask|video,15.0,estimated,liquidität zeitarbeit,Liquiditaet & Factoring,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),1,1.1651857,-7.6805263
diversity zeitarbeit,informational,cluster_10,body,Trend,325,22,1.62,people-also-ask|video,14.8,estimated,diversity zeitarbeit,Branchentrends & Marktentwicklung,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,1.6112531,-9.923373
abrechnung zeitarbeitnehmer,informational,cluster_02,body,Synonym,280,19,1.09,featured-snippet|video,14.7,estimated,abrechnung zeitarbeitnehmer,Lohnabrechnung & Payroll,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,3.8293831,-9.802914
tariflandschaft zeitarbeit,informational,cluster_10,body,Tarif,701,50,1.52,people-also-ask|video,14.0,estimated,tariflandschaft zeitarbeit,Branchentrends & Marktentwicklung,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),1,1.964348,-7.190429
betriebsrat zeitarbeit,informational,cluster_06,body,Mitbestimmung,353,26,1.24,featured-snippet,13.6,estimated,betriebsrat zeitarbeit,AUEG & Rechtssicherheit,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,2.1623454,-9.28558
einsatzplanung zeitarbeit,commercial,cluster_04,body,Funktion,658,49,2.95,ads,13.4,estimated,einsatzplanung zeitarbeit,Zeiterfassung & Disposition,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,1.0952567,-9.249118
erp zeitarbeit,commercial,cluster_01,body,Kategoriebegriff,565,43,11.83,shopping,13.1,estimated,erp zeitarbeit,Zeitarbeitssoftware & zvoove One,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,0.7434344,-10.599015
fluktuation senken zeitarbeit,informational,cluster_09,longtail,Strategie,117,9,1.05,featured-snippet,13.0,estimated,fluktuation senken zeitarbeit,HR & Mitarbeiterverwaltung,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,1.135425,-8.438543
equal treatment zeitarbeit,informational,cluster_06,body,Synonym,594,46,0.73,featured-snippet|people-also-ask,12.9,estimated,equal treatment zeitarbeit,AUEG & Rechtssicherheit,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,1.9997019,-8.765387
lohnsteuer zeitarbeit,informational,cluster_02,body,Steuerfrage,663,52,0.74,featured-snippet|video,12.8,estimated,lohnsteuer zeitarbeit,Lohnabrechnung & Payroll,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),1,2.204307,-7.328326
deckungsbeitrag zeitarbeit,informational,cluster_11,body,KPI,560,44,1.98,featured-snippet|people-also-ask,12.7,estimated,deckungsbeitrag zeitarbeit,Kundenreferenzen & ROI,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,1.2155143,-8.477583
saas zeitarbeit,commercial,cluster_01,body,Liefermodell,707,56,5.76,ads|shopping|site-links,12.6,estimated,saas zeitarbeit,Zeitarbeitssoftware & zvoove One,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,0.95027924,-10.464678
arbeitsschutz zeitarbeit,informational,cluster_06,body,Pflicht,464,37,1.46,people-also-ask,12.5,estimated,arbeitsschutz zeitarbeit,AUEG & Rechtssicherheit,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,4.6035523,-8.85566
gesetzliche abzüge lohn,informational,cluster_02,body,Wissensfrage,538,43,2.32,featured-snippet|video,12.5,estimated,gesetzliche abzüge lohn,Lohnabrechnung & Payroll,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),1,1.6304646,-6.406514
ausbildung zeitarbeit,informational,cluster_09,body,Strategie,617,50,0.74,people-also-ask,12.3,estimated,ausbildung zeitarbeit,HR & Mitarbeiterverwaltung,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,0.78256136,-9.915201
zeiterfassung pflege,commercial,cluster_04,body,Branche,629,52,8.36,ads|shopping,12.1,estimated,zeiterfassung pflege,Zeiterfassung & Disposition,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,-0.35976368,-9.68154
lohnabrechnung zeitarbeit,commercial,cluster_02,head,Hauptbegriff,851,72,11.92,ads|site-links,11.8,estimated,lohnabrechnung zeitarbeit,Lohnabrechnung & Payroll,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,0.5545508,-10.8247175
einkommensteuer zeitarbeit,informational,cluster_02,body,Steuerfrage,591,50,1.53,featured-snippet|people-also-ask|video,11.8,estimated,einkommensteuer zeitarbeit,Lohnabrechnung & Payroll,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),1,2.374691,-7.375158
demografischer wandel arbeitsmarkt,informational,cluster_10,longtail,Trend,164,14,0.57,featured-snippet,11.7,estimated,demografischer wandel arbeitsmarkt,Branchentrends & Marktentwicklung,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,5.4178658,-7.8612432
inkasso zeitarbeit,commercial,cluster_05,body,Service,454,40,5.29,ads|shopping,11.3,estimated,inkasso zeitarbeit,Liquiditaet & Factoring,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,0.6849379,-9.615347
employer branding zeitarbeit,informational,cluster_03,longtail,Marketing,187,17,2.4,featured-snippet,11.0,estimated,employer branding zeitarbeit,Recruiting & Bewerbermanagement,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,4.72262,-9.295562
zoll prüfung zeitarbeit,informational,cluster_06,longtail,Audit,162,15,0.93,featured-snippet,10.8,estimated,zoll prüfung zeitarbeit,AUEG & Rechtssicherheit,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,2.2239087,-10.673972
active sourcing zeitarbeit,informational,cluster_03,longtail,Methode,106,10,1.9,featured-snippet|people-also-ask,10.6,estimated,active sourcing zeitarbeit,Recruiting & Bewerbermanagement,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,2.0118096,-9.414669
remote work trends,informational,cluster_10,body,Trend,332,32,1.04,video,10.4,estimated,remote work trends,Branchentrends & Marktentwicklung,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,3.5029352,-9.490328
mindestlohngesetz zeitarbeit,informational,cluster_06,body,Gesetz,296,30,2.45,people-also-ask|video,9.9,estimated,mindestlohngesetz zeitarbeit,AUEG & Rechtssicherheit,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),-1,3.683223,-8.2712965
höchstüberlassungsdauer ausnahmen,informational,cluster_06,longtail,Spezialfall,108,11,2.04,featured-snippet,9.8,estimated,höchstüberlassungsdauer ausnahmen,AUEG & Rechtssicherheit,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),1,0.8681944,-6.9479237
zeitarbeit prüfung agentur arbeit,informational,cluster_06,longtail,Audit,175,18,2.04,featured-snippet,9.7,estimated,zeitarbeit prüfung agentur arbeit,AUEG & Rechtssicherheit,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,2.4527802,-10.715316
arbeitszeitkonto führen,informational,cluster_04,body,Aufgabe,376,39,2.02,people-also-ask,9.6,estimated,arbeitszeitkonto führen,Zeiterfassung & Disposition,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,3.9457047,-9.3949
equal pay nach 9 monaten,informational,cluster_06,longtail,Frist,190,20,0.55,people-also-ask,9.5,estimated,equal pay nach 9 monaten,AUEG & Rechtssicherheit,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),2,4.2672606,-6.827682
on premise zeitarbeit ablösen,informational,cluster_07,longtail,Migration,95,10,0.73,people-also-ask|video,9.5,estimated,on premise zeitarbeit ablösen,Digitalisierung & Cloud in der Personaldienstleistung,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,1.3233812,-10.033016
zeitarbeit dsgvo,informational,cluster_06,body,Compliance,396,42,1.61,featured-snippet,9.4,estimated,zeitarbeit dsgvo,AUEG & Rechtssicherheit,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,-0.12866563,-9.892545
arbeitgeberanteile sozialversicherung,informational,cluster_02,body,Wissensfrage,420,46,2.32,featured-snippet,9.1,estimated,arbeitgeberanteile sozialversicherung,Lohnabrechnung & Payroll,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,4.5755663,-8.060923
aüg 2026,informational,cluster_06,longtail,Aktuell,108,12,0.84,featured-snippet|people-also-ask,9.0,estimated,aüg 2026,AUEG & Rechtssicherheit,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,5.675169,-6.790493
aüg erlaubnis beantragen,informational,cluster_06,longtail,Verfahren,147,17,1.13,people-also-ask|video,8.6,estimated,aüg erlaubnis beantragen,AUEG & Rechtssicherheit,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),1,1.2324919,-6.2523975
gehaltsabrechnung zeitarbeit,informational,cluster_02,body,Synonym,293,35,2.06,featured-snippet|people-also-ask,8.4,estimated,gehaltsabrechnung zeitarbeit,Lohnabrechnung & Payroll,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,1.5914356,-8.890279
personalcontrolling zeitarbeit,informational,cluster_09,longtail,Methode,109,13,0.35,people-also-ask,8.4,estimated,personalcontrolling zeitarbeit,HR & Mitarbeiterverwaltung,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,-0.22787206,-9.553053
zeiterfassung zeitarbeit,commercial,cluster_04,body,Spezialisierung,575,69,9.41,ads,8.3,estimated,zeiterfassung zeitarbeit,Zeiterfassung & Disposition,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,0.5278258,-9.083116
zahlungsziele kunden,informational,cluster_05,body,Cashflow,433,53,1.83,featured-snippet,8.2,estimated,zahlungsziele kunden,Liquiditaet & Factoring,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),2,3.1171849,-7.6453824
zeitarbeit krise,informational,cluster_10,body,Marktlage,333,41,1.36,featured-snippet|video,8.1,estimated,zeitarbeit krise,Branchentrends & Marktentwicklung,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,3.8129792,-9.038894
bap tarif aktuell,informational,cluster_10,body,Tarif,338,42,0.65,featured-snippet|video,8.0,estimated,bap tarif aktuell,Branchentrends & Marktentwicklung,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),2,2.8337421,-7.0829988
zeitarbeit europa,informational,cluster_10,body,Marktanalyse,184,23,2.27,video,8.0,estimated,zeitarbeit europa,Branchentrends & Marktentwicklung,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,0.5158154,-9.922587
chatgpt zeitarbeit,informational,cluster_12,longtail,Trend,127,16,2.28,people-also-ask,7.9,estimated,chatgpt zeitarbeit,KI & Automatisierung im Recruiting,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,0.063295975,-10.15304
brutto netto rechner zeitarbeit,informational,cluster_02,longtail,Tool-Suche,78,10,1.01,people-also-ask|video,7.8,estimated,brutto netto rechner zeitarbeit,Lohnabrechnung & Payroll,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,-0.30881834,-10.003315
stundenerfassung baustelle,informational,cluster_04,longtail,Branche,86,11,2.0,featured-snippet|people-also-ask|video,7.8,estimated,stundenerfassung baustelle,Zeiterfassung & Disposition,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,1.4036268,-8.666324
gen z arbeitswelt,informational,cluster_10,longtail,Trend,92,12,1.94,video,7.7,estimated,gen z arbeitswelt,Branchentrends & Marktentwicklung,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,5.352401,-8.086085
zeiterfassung pflicht 2026,informational,cluster_04,longtail,Gesetz,82,11,1.63,people-also-ask|video,7.5,estimated,zeiterfassung pflicht 2026,Zeiterfassung & Disposition,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,5.695344,-6.744594
sonntagszuschlag zeitarbeit,informational,cluster_02,longtail,Wissensfrage,160,22,1.37,people-also-ask|video,7.3,estimated,sonntagszuschlag zeitarbeit,Lohnabrechnung & Payroll,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,2.2467928,-10.085109
new work zeitarbeit,informational,cluster_10,longtail,Trend,114,16,0.66,people-also-ask,7.1,estimated,new work zeitarbeit,Branchentrends & Marktentwicklung,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,2.8561494,-9.60031
fachkräftemangel zeitarbeit,informational,cluster_03,body,Branchenproblem,276,40,0.65,people-also-ask,6.9,estimated,fachkräftemangel zeitarbeit,Recruiting & Bewerbermanagement,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,3.8524199,-9.132772
gesetzliche zeiterfassungspflicht,informational,cluster_04,body,Gesetz,223,33,1.49,featured-snippet|video,6.8,estimated,gesetzliche zeiterfassungspflicht,Zeiterfassung & Disposition,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),1,1.7166367,-6.7830935
bewerbermanagement zeitarbeit,commercial,cluster_03,body,Spezialisierung,500,74,6.55,shopping|site-links,6.8,estimated,bewerbermanagement zeitarbeit,Recruiting & Bewerbermanagement,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,1.9388068,-8.963004
dms zeitarbeit,commercial,cluster_07,body,Tool,244,37,7.42,site-links,6.6,estimated,dms zeitarbeit,Digitalisierung & Cloud in der Personaldienstleistung,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,0.28659025,-9.870667
arbeitszeitgesetz zeitarbeit,informational,cluster_04,longtail,Gesetz,159,24,2.35,featured-snippet,6.6,estimated,arbeitszeitgesetz zeitarbeit,Zeiterfassung & Disposition,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,4.414557,-8.699242
aüg statistik meldung,informational,cluster_06,longtail,Pflicht,168,26,0.75,featured-snippet|video,6.5,estimated,aüg statistik meldung,AUEG & Rechtssicherheit,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,0.34800854,-7.9480877
factoring vorteile zeitarbeit,informational,cluster_05,longtail,Nutzen,163,26,2.15,featured-snippet,6.3,estimated,factoring vorteile zeitarbeit,Liquiditaet & Factoring,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,1.0314533,-8.403897
tarifvertrag zeitarbeit lohn,informational,cluster_02,longtail,Tarif,81,13,1.37,people-also-ask|video,6.2,estimated,tarifvertrag zeitarbeit lohn,Lohnabrechnung & Payroll,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),1,2.2183259,-6.9628544
zeitarbeit checkliste compliance,informational,cluster_06,longtail,Vorlage,185,30,0.36,featured-snippet,6.2,estimated,zeitarbeit checkliste compliance,AUEG & Rechtssicherheit,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,2.435306,-10.659177
arbeitgeberattraktivität zeitarbeit,informational,cluster_10,longtail,Marketing,111,18,1.07,featured-snippet|people-also-ask,6.2,estimated,arbeitgeberattraktivität zeitarbeit,Branchentrends & Marktentwicklung,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,4.22898,-9.071596
total cost ownership erp,informational,cluster_11,longtail,Business Case,196,32,2.4,featured-snippet|video,6.1,estimated,total cost ownership erp,Kundenreferenzen & ROI,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),2,3.1353967,-7.0791936
single sign on zeitarbeit,commercial,cluster_07,longtail,Tech,173,29,7.4,shopping|site-links,6.0,estimated,single sign on zeitarbeit,Digitalisierung & Cloud in der Personaldienstleistung,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,0.32705662,-10.553838
prozesskosten senken zeitarbeit,informational,cluster_11,longtail,Strategie,197,34,0.56,video,5.8,estimated,prozesskosten senken zeitarbeit,Kundenreferenzen & ROI,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),2,1.9248154,-8.228572
urlaubsgeld zeitarbeit,informational,cluster_02,body,Wissensfrage,86,15,1.63,featured-snippet|people-also-ask|video,5.7,estimated,urlaubsgeld zeitarbeit,Lohnabrechnung & Payroll,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,3.5486963,-9.575422
inklusion zeitarbeit,informational,cluster_10,body,Trend,187,33,1.72,people-also-ask,5.7,estimated,inklusion zeitarbeit,Branchentrends & Marktentwicklung,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,1.7727528,-9.839259
flexibler arbeitsmarkt,informational,cluster_10,body,Trend,260,46,2.47,featured-snippet|video,5.7,estimated,flexibler arbeitsmarkt,Branchentrends & Marktentwicklung,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,5.2413673,-7.982827
gefährdungsbeurteilung zeitarbeit,informational,cluster_06,longtail,Pflicht,189,33,0.5,featured-snippet|people-also-ask|video,5.7,estimated,gefährdungsbeurteilung zeitarbeit,AUEG & Rechtssicherheit,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,0.6196105,-8.210822
zeitarbeitsbranche 2026,informational,cluster_10,longtail,Aktuell,190,34,0.99,featured-snippet,5.6,estimated,zeitarbeitsbranche 2026,Branchentrends & Marktentwicklung,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,5.5818553,-7.1223927
aüg erlaubnis kosten,informational,cluster_06,longtail,Pricing,176,32,1.5,featured-snippet|video,5.5,estimated,aüg erlaubnis kosten,AUEG & Rechtssicherheit,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),2,2.8319242,-7.098237
mitarbeitermotivation zeitarbeit,informational,cluster_09,longtail,Strategie,144,26,1.57,featured-snippet|video,5.5,estimated,mitarbeitermotivation zeitarbeit,HR & Mitarbeiterverwaltung,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,4.5211287,-9.631458
mindestlohn entwicklung 2026,informational,cluster_10,longtail,Politik,121,22,0.42,people-also-ask,5.5,estimated,mindestlohn entwicklung 2026,Branchentrends & Marktentwicklung,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,5.797893,-6.714351
weihnachtsgeld zeitarbeitnehmer,informational,cluster_02,longtail,Wissensfrage,113,21,0.36,featured-snippet|video,5.4,estimated,weihnachtsgeld zeitarbeitnehmer,Lohnabrechnung & Payroll,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,3.4433467,-9.901891
mitarbeiterzufriedenheit messen,informational,cluster_09,longtail,Methode,158,30,2.32,featured-snippet|people-also-ask,5.3,estimated,mitarbeiterzufriedenheit messen,HR & Mitarbeiterverwaltung,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,4.570883,-9.648985
sanktionen aüg verstoß,informational,cluster_06,longtail,Risiko,165,31,1.92,featured-snippet|people-also-ask,5.3,estimated,sanktionen aüg verstoß,AUEG & Rechtssicherheit,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),1,2.006012,-6.449079
gesundheitsuntersuchung zeitarbeit,informational,cluster_06,longtail,Pflicht,147,29,2.01,people-also-ask,5.1,estimated,gesundheitsuntersuchung zeitarbeit,AUEG & Rechtssicherheit,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,2.1200414,-8.922563
höchstüberlassungsdauer tarifvertrag,informational,cluster_06,longtail,Tarif,152,30,2.11,people-also-ask|video,5.1,estimated,höchstüberlassungsdauer tarifvertrag,AUEG & Rechtssicherheit,1,3,3,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),1,1.9897335,-6.3723135
zeiterfassung dsgvo,informational,cluster_04,longtail,Compliance,150,30,1.71,featured-snippet|people-also-ask,5.0,estimated,zeiterfassung dsgvo,Zeiterfassung & Disposition,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,-1.0473913,-9.971757
bgm zeitarbeit,informational,cluster_09,body,Strategie,165,33,2.02,featured-snippet|people-also-ask,5.0,estimated,bgm zeitarbeit,HR & Mitarbeiterverwaltung,1,1,1,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),3,2.142695,-9.808017
working capital zeitarbeit,informational,cluster_05,longtail,Finanzbegriff,84,17,1.68,people-also-ask|video,4.9,estimated,working capital zeitarbeit,Liquiditaet & Factoring,1,2,2,Industry & labour law catch-all,Branche & Arbeitsrecht (Sammelbecken),0,4.0039654,-9.416782
